GameID,FM1
1716,"Mario: 10 (21), beside me, soup (3), zebra (13) & cleaningMariana: 9 (9), (room) only (21), oatmeal (24), cow (5) & bra (51)Unsaid #1s: 8 & panda || Category: || ""Family Feud"""
1717,"Cathleen: Diamond ring, kissing (14), 9 (3), plays (11) & boots (49)Alicia: Car (41), reading (30), 5 (26), books (20) & hat (2)Unsaid #1: Food/restaurants"
1718,"Kristy: Bone/treat/food (41), six (9), grandma (3), clean & brake light (27)Kaitlyn: Owner (29), three (25), parents (24), look & license plate (8)Unsaid #1s: Clergy, file & bumper || Category: || ""Family Feud"""
1719,"Jeff: Chicken (17), 8 (22), food (8), coconut (29) & KS (51)Lance: Horse (11), 7 (21), car (24), banana & KY (49)Unsaid #1s: Ostrich, housing/rent & alcohol"
1720,"Kristy: 6wks (6), bed (26), spouse/mate (33), priest & snattle Kaitlyn: Five months (2), town, secret admirer, SUPERMAN (37) & cattle (19)  Unsaid #1s: Three months, road/street, dog/pet, BATMAN & battle || Category: || ""Family Feud"""
1721,"Jeff: Food/restaurants (33), 5 (23), basketball (31), metal (29) & crayons (29)Lance: Gas (3), 8 (13- 5 & 6 tied for #1), football (24), smoke/fire (43) & pencils"
1722,"Karrington: Stomach (4), four (3), bathroom (36), down (6) & apartment (50)Kaitlyn: Butt (28), one (19), living rm. (13), out (26) & car (32)Unsaid #1s: Eyes, two & off || Category: || ""Family Feud"""
1723,"Jeff: 50% (14), depression (3), pig (4), meth (12) & bad foodLance: 75% (15), debt (20), goat (2), clear (7) & car (4) Unsaid #1s: 90%, death/dying, bear, ball & wife/woman || Category: || ""Family Feud"""
1724,"Jeff: Common sense (7), bikes (16), â€œActâ€ (23), four (15) & clothes/shoes (41)Lance: Smell (3), horses (23), city, five (31) & bucketUnsaid #1s: Direction, motorcycles & â€œSisterâ€ || Category: || ""Family Feud"""
1725,"JJ: One (34), sex (32), host (43), kid (21) & soapAhmoray: Three (20), dance (36), most (35), friend & tissueUnsaid #1s: Politician & towels || Category: || ""Family Feud"""
1726,"JJ: Three (20), Chihuahua, serve (13), Sun (7) & tent (53)Ahmoray: Five (23), bulldog (7), taxes (22), oceans/beaches (30) & flashlight (4)Unsaid #1s: German Shepherd & vote || Category: || ""Family Feud"""
1727,"Ahmoray: Mom (22), 18 (9), Sun. (7), talk (43) & chocolate chips (48)Juzet: Dad (4), 12, Wed. (15), walk (26) & flour (8)Unsaid #1s: Spouse/mate, 15 & Tues. || Category: || ""Family Feud"""
1728,"Jurii: Hr. (41), mom (33), pants (22) & alcohol/champagne (42)Ahmoray: 1.5hrs, kid (10), belt (12), heirloom (3) & heels (18)Unsaid #1s: Socks & home || Category: || ""Family Feud"""
1729,"JJ: Condom (33), cat (27), 40 (24), crying (8) & Mexico (49)Ah'Shirae: Phone #, rat (cat & horse tied for #1), 35 (31), eating (13) & Canada (51)Unsaid #1s: Lingerie & sleeping/napping || Category: || ""Family Feud"""
1730,"Tommy: Five (19), giraffe (45), toilet (46) & teeter-totter (50)Teague: 10 (8), dog (5), jaguar, sink (26) & slide (36)Unsaid #1s: Two & table || (Final notes: When it comes time for FM the two selected family members stand in front of the family's podium instead of next to Steve. During the rd. Steve stands far enough to the left of the player & there are nothing but blue spotlights in the background.) || Category: || ""Family Feud"""
1731,"Tommy: 13 (2), car (18), cookies/candy (36), rub (45) & napkin (59)Teague: 16 (13), elevator (19), soak in water (36) & hands Unsaid #1s: 18, airplane & weed/meds || Category: || ""Family Feud"""
1732,"Michael: 8 (13), porcupine, ready to, orange & pie (49)Briana: 9 (4), cow (4), rowdy, red (37) & cake (15)Unsaid #1s: 1, pig/hog & birthday"
1733,"Francine: Animals (38), two (5), spank, wash face (23) & Christmas (49)Alex: Peanuts (9), four (11), skank (4), put PJs on (14) & Thanksgiving (5) Unsaid #1s: Clowns, 0 & 5 (tied), bank & brush teeth || Category: || ""Family Feud"""
1734,"Deneen: 21 (5), park (2), hot chocolate/cocoa (38), bird (16) & chair (58)Briana: 18 (12), church (27), coffee (14), bat (25) & swing Unsaid #1s: 25, library & fly"
1735,"Francine: Set of boobs (6), three (7), (toe)nails (42), candles (44) & Italy (53)Alex: Spouse/mate (22), two (20), hair (6), menorah & GreeceUnsaid #1s: Car, one & four (tied) || Category: || ""Family Feud"""
1736,"Nikki: Mom (2), 5 (21), chip (28), lamb (28) & plastic (62)Karen: Dad, 7 (3), pancake (3), chicken (45) & paper (37)Unsaid #1s: You & 1"
1737,"Francine: Stomach/abs (27), seven (5), lily pad (11), monkey & claustrophobia (2)Alex: Butt (4), 10 (7), jumping (14), chip (34) & exercise (57)Unsaid #1s: Two & warts || Category: || ""Family Feud"""
1738,"Nikki: Chest (10), 80% (5), (imaginary) friend (16), watching movies (18) & strip club (40)Mike: Face (20), 50% (22), pet (36), playing cards (13) & in a hurricaneUnsaid #1: Reading"
1739,"Francine: 6 (10), cat (27), bread (28), body parts (42) & silver (32)Alex: 10 (38), koala, man, clothes (47) & steelUnsaid #1: Ale || Category: || ""Family Feud"""
1740,"Cheryl: Body/figure (29), building nests (5), four (4), ranger (40) & car (54)Tiffany: Attitude (17), laying eggs, five (17), granger & homeUnsaid #1s: Flying, 10 & stranger"
1741,"Daniel: Lion (5), bath (16), horn/instrument (28), 10 (31) & brush (59)Maureen: Mule (2), break (17), breathalyzer (14), 8 (19) & combUnsaid #1s: Shark & hike || Category: || ""Family Feud"""
1742,"Cheryl: Sister (31), 4 (9), horse (29), butt (41) & Thanksgiving (43)Justin: Daughter, 1 (35), cow (30), thighs & ChristmasUnsaid #1: Best friend"
1743,"Melinda: Home (18), 5 (12), eat (43), ketchup (42) & football (53)Andrea (Melinda's a sister): Car (2), 8 (25), drink (33), relish & basketballUnsaid #1: Spouse/mate || Category: || ""Family Feud"""
1744,"Tiffany: Cook/bake (26), 10 (23), chocolate/candy (10), tub (37) & dog (8)Chad: Kiss (4), 9 (17), pizza (12), water (6) & person (46)Unsaid #1: Meat/chicken"
1745,"Melinda: 8 (13), dog (24), pizza (3), take pics (9) & face (53)Andrea: 10 (9), cow (17), crackers (16) & hand (15)Unsaid #1s: 5, brownies & scream/shout || Category: || ""Family Feud"""
1746,"Sandemara: Dad, jockey strap (16), 10 (31), peach & snore (61)Dionne: Spouse/mate (30), cleats, strawberry (43) & talk (21)Unsaid #1: Helmet"
1747,"Melinda: Body (39), nookie (25), 8 (32), mouth/lips (41) & milk (15)Wanda: Hair, lookie (3), 10 (13), eyes (33) & mooUnsaid #1: Bookie  || Category: || ""Family Feud"""
1748,"Gladys: Five (12), streak (2), piranha, doctor/dentist (33) & sled (6)Michael: Three (24), freak (14), lion (26), nurse (16) & ski/snowboard (41)Unsaid #1s: Four & cheek"
1749,"Jennifer: 5 (15), fox, trash (16), car (22) & cheese (45)Emory: 10 (21), dog, teeth (17), home/apartment (35) & meat (11) Unsaid #1s: Tiger & contacts || Category: || ""Family Feud"""
1750,"Gladys: Spouse/mate (44), cow, 7 (5), fight (32) & bone (36)Michael (who I think is married to Gladys): Children (4), cake (13), 8 (7), talk (39) & toy (52)Unsaid #1s: Chicken & 1"
1751,"Annysue: Friend (43), 7 (25), blue (16), pretzel (4) & wedding (24)Annie: Mom (22), 8 (20), gold, wings (35) & funeral (58)Unsaid #1: Pink || Category: || ""Family Feud"""
1752,"Gladys: 7 (6), assistant (2), me (4), did a good job (13) & drawer (3)Michael: 8 (14), lawyer (8), 13 (2), birthday (9) & socket (3)Unsaid #1s: 10, maid/housekeeper, duck(y), sick/injured & door"
1753,"Annysue: Black (36), 8 (26), family, fingers/hand (40) & bark (32)Annie: White (24), 7 (11), Santa (31), pacifier & runUnsaid #1s: 10, tree & growl || Category: || ""Family Feud"""
1754,"Gladys: Jeans (28), 10 (32), marshmallows (41), lifetime (24) & head (38)Michael: Pajamas (11- shorts tied for #1), eight (13), peanuts (22), blue moon & stomach"
1755,"Annysue: Basketball (12), Rain, 20 (26), fail (18) & bed (58)Annie: Hockey, Belly, 21 (10), shale & floor (2)Unsaid #1s: Soccer, Break & pail || Category: || ""Family Feud"""
1756,"Michelle: 10 (22), hung (28), pool (22), ice cream & wake up (42)Vito: 8 (8), dung (11), sea (16), caviar & brush teeth (19)Unsaid #1s: 5 & cheese"
1757,"Annysue: Camel (16), 25 (21), frog (14), Sat. (15) & snake (49)Annie: Donkey (12), 27 (4), clog (20), Fri. (7) & alligatorUnsaid #1s: Bike & Christmas || Category: || ""Family Feud"""
1758,"Michelle: Back (48), 5 (19), snake, boss (29) & fire (45)Vito: Neck (4), 7 (5), leprechaun, gloss (30) & Cub Scouts (2)Unsaid #1s: 1, bird & tent"
1759,"Annie: Hat (10), church (23), 9 (29), hot tea (4) & up against their spouse (26)Annysue: Toys (21), football (29), 10 (38), coffee & socks (42)Unsaid #1s: Sleigh, sleeping & milk || Category: || ""Family Feud"""
1760,"Michelle: $500 (25), car (39), church (34), giraffe & cabinetsJustin: $1K (18), corner office (3), watching football (11), elephant (40) & mouth (47)Unsaid #1: Sleeping/resting"
1761,"James: 8 (25), wiener (7), milk (6), daisy (10) & Kingdom (12)Roosevelt: 10 (7- 5 tied for #1), golden retriever, shaker bottle, tulip (13) & Nations (10)Unsaid #1s: Poodle, juice, carnation & States || Category: || ""Family Feud"""
1762,"Michelle: Mom (12), set (2), strawberry (20), $100 (3) & able (12)Justin: Spouse/mate (20), roll (25), bananas (13), $10K (8) & Mabel (2)Unsaid #1s: $1M & table"
1763,"Nicole: Eat (2), two (13), butt (41), milk (45) & traps (32)Christine: Pray (2), three (6), legs (8), sugar (22) & peopleUnsaid #1s: Clean/laundry, five & cats || Category: || ""Family Feud"""
1764,"Michelle: Nose (38), 30 (29), nickel (23), rat (31) & spouse/mate (45)Justin: Hat (6), 25 (21), iron & snake (14)Unsaid #1s: Copper, spider & mom"
1765,"Melvin: 8 (21), preacher (6), perfume (22), Pacific (49) & red (57)Nicole: 4 (4), choir (2), meat (3), Atlantic (48) & greenUnsaid #1s: 5, bible & fruit/veggies || Category: || ""Family Feud"""
1766,"Karissa: 1 (35), find new job (15), love & cat (46)Khristina: 5 (15), throw something, spouse/mate (6), Mickey (29) & squirrelUnsaid #1s: Cry/leave & air/oxygen"
1767,"Jeremy: Phone, 8 (9), spouse/mate (36), tiger (28) & shrimp (4)Natasha: Animals (15), 7 (10), kids (15), lion (23) & chicken (49) Unsaid #1s: Friends & 5 || Category: || ""Family Feud"""
1768,"Karissa: Walk through door (2), 10 (2), sofa (11), neck (45) & cheese (57)Khristina: Go to bathroom (39), 9 (2), refrigerator (21), wrist & peanut butter (34)Unsaid #1: 5"
1769,"Nate: 5 (15), lion (34), coins (32- tied for #1 w/ water), apple (38) & hammer (57)Rolanda: 8 (28), tiger, treasure, lime & screwdriver || Category: || ""Family Feud"""
1770,"Karissa: 5 (13), strawberry (24), bushes (5), pencil (35) & World Wide (23)Khristina: 1 (19), car (12) & sword (16- pen tied for #1)Unsaid #1s: 4, lawnmower & hose (tied) & spider"
1771,"Nate: OR, 40 (32), Bernard, kiss (12) & kill it (12)Rolanda: CO, 35 (10), boxer (24), sit & scream (47)Unsaid #1s: WY & eat || Category: || ""Family Feud"""
1772,"Khristina: Mom (16), 5 (8), basketball (25), worms (37) & face (51)BJ: Bridesmaid/maid of honor (39), 1 (11), football (19), seeds & ear(s)Unsaid #1s: 10 & baseball"
1773,"Dominique: Lost (27), frank, catching (31), 10 (24) & chairs (20)Dora: Dropped (19), faint (32), hitting/batting (32), eight & table (28)Unsaid #1s: Swallowed, five & pet || Category: || ""Family Feud"""
1774,"Haley: Dance (3), 2 (14), basketball (8), chair (30) & soup (50)Stephanie: Travel (30), 5 (27), â€œPeople'sâ€ (17), towels (2) & ice cream (14)Unsaid #1: â€œNightâ€"
1775,"Dominique: Pigeon (5), milkshake, four (27), wake up/get up (31) & guestDora: Duck (12), ketchup (2), 12, get dressed (14) & Valentine (45)Unsaid #1s: Ostrich & baked beans || Category: || ""Family Feud"""
1776,"Yusuf: 8 (16), hold (9), pizza (17), CA (51) & Apr. (59)Phoebe: 10 (33), fold (16), steak, CT & MayUnsaid #1s: Mold & chocolate"
1777,"Sean: Home (44), 8 (28), watch football (33), legs (26) & dingleLeon: Car (2), 7 (7), sleep (3), elbow/arm (47) & shingleUnsaid #1: Single || Category: || ""Family Feud"""
1778,"Angela: 10 (4), sandwiches (9), base (21), kids (14) & bowling (17)Jeremy: 8 (17), pie, choice, neighbors (10) & hockey (5) Unsaid #1s: 7, potato salad, friends & golf || Category: || ""Family Feud"""
1779,"James: Mom (31), mile (32), cigarettes (25), phone number (47) & two (47)Monee (James is her brother-in-law): Child, wild, wolves (34), address & one || Category: || ""Family Feud"""
1780,"Jordan: Jacket/coat (20), four, Fruity Pebbles (3), teach (34) & to the parkConnor: Long-sleeve shirt (12), 10 (13), Cinnamon Toast Crunch, preach (3) & sit (48)Unsaid #1s: 12 & Frosted Flakes || Category: || ""Family Feud"""
1781,"Jordan: $500 (2), horse (42), going outside (3), face (21) & TerryConnor: $100 (27), hyena (7), nap (5), toes (36) & Harry (53)Unsaid #1: Feeding time || Category: || ""Family Feud"""
1782,"Nikki: 10 (19), dog/pet (37), sob (40), watching movie/TV (47) & flowers (44)Connor: 9 (4), car (29), whine, folding clothes & chocolate/candyUnsaid #1: 1  || Category: || ""Family Feud"""
1783,"Nikki: Cello (6), nerd (7), money/salary (47), 10 (41) & ketchup (42)Connor: Guitar (2), turd (26), job (44), 5 & mustardUnsaid #1s: Tuba & word"
1784,"Raelyn: 7AM (39), ankle (8), fried chicken (4), balls (45) & hair (43)Tiyana: 8AM (39), leg (20), fries (42), stick & toothUnsaid #1: Hand/finger || Category: || ""Family Feud"""
1785,"Emanuel III: 5 (19), hater (2), fish (12), ball (31) & rockSheanell: 1 (21), best friend (2), frog (31), STOP sign & liner (7)Unsaid #1s: Spouse/mate & bug"
1786,"Raelyn: Back (29), 30 (8), drives (6), hair (33) & perfume/cologne (41)Tiyana: Lips, 25 (10), eats (11), clothes (13) & flowers (14)Unsaid #1s: 18 & get dressed || Category: || ""Family Feud"""
1787,"Maarof: Driving (4), basketball (25), sofa (10), fries & 30 (46)Fatima: Sex (3), soccer (18), stove (19), (cheese)burger & 60 (13)Unsaid #1s: Airplane, refrigerator & ice cream"
1788,"Kasone: 8 (21), owl (6), skater (32), hat (47) & mosquito (7)Brennon (married to Kasone): 7 (14), orangutan (12), eight (41), saddle (6) & cockroach (5)Unsaid #1s: 9, ostrich & bee || Category: || ""Family Feud"""
1789,"Karina: Three (6), blue (12), water (36), police (20) & DisneylandSteven: Seven, Swiss (24), alcohol (25), firefighter (47) & birthday (42)Unsaid #1s: Five & Christmas"
1790,"Shannon: Donald Duck (33), 7 (23), basketball (38), bed (41) & lollarGabe: Goofy (15), 8 (23), soccer (30), dinner & hollerUnsaid #1: Minnie Mouse || Category: || ""Family Feud"""
1791,"Daniel: 90% (13), NOTHING (23), all (26), kitten (26) & sesameBrittany: 50% (13), hat (12), good (18), bunny (7) & watermelonUnsaid #1s: 75%, jewelry/watch, dog & sunflower"
1792,"Kelly: 2wks (26), elephant (14), crackers (18), North (31) & wine (11)Dave: Yr. (2), snail (18), ham (4) & coffee (66)Unsaid #1s: Wk., turtle/tortoise, burger || Category: || ""Family Feud"""
1793,"Dwayne: Arm(pit)s (11), 8 (23), it (33), drill (24) & pleasure (49)Daniel: Face (18), 10 (27), home, screwdriver (44) & measure (49)Unsaid #1: Back"
